index,source,url,title,body,user,upvote,rating,created_at
16,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Till now my swiggy experience was awesome, but yesterday I placed an order which automatically got cancelled after 30mins. When I enquired about the same, the team informed me that the order has been cancelled from my end and they refused to issue my refund as well. Why will i cancel the order after being regular customer and well aware about the cancellation and refund policy. My refund of Rs. 521 is still pending.",shailja shekhar,0,3,2024-02-27 20:26:37
17,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,good job,sajal porwal,0,5,2024-02-27 20:22:55
18,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Bad customer support, inflated delivery times...",amrit kumar,0,1,2024-02-27 20:20:30
19,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Delivery services are very bad took 1 and half hour to deliver in the area of 2 km,Prabhat Singh,0,1,2024-02-27 20:05:16
0,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"App and delivery person are too good in swiggy, issue is with customer support, for more than a month, trying to get back my valid refund, but all swiggy executives do is give another time period to wait, that's how I have waited for 35+ days , still not able to get my money back, trying to resolve an issue with swiggy customer support is impossible, they just mentally harass the customer, so what is the benefit of being a member and a customer for so long...",Soumyajyoti J. Banerjee,0,1,2024-02-27 21:51:18
1,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,IT WILL TAKE 1:30 HOUR AND THEN SAY FOOD IS NOT READY,Rajat Painuly,0,2,2024-02-27 21:40:04
2,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Very Bad Service,sanket birajdar,0,1,2024-02-27 21:35:22
3,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Worst ever food delivery platform... Don't go for it.... worst experience... looting people.. for some reason I cancelled order... they have deducted the whole amount.. worst customer support,Imran Baig,0,1,2024-02-27 21:33:25
4,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,😞😞.. very bad experience..,Rakesh Khanna,0,1,2024-02-27 21:32:47
5,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Eric will 753009,Manoranjan Mohapatra,0,5,2024-02-27 21:30:57
6,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Itna fraud swiggy bhi kr skta hai ye kbhi nhi socha. Mera refund complete kr diya lekin mera amount mujhe nhi diya. Or jb maine uska refund reference number manga to uska koi sahi jbab nhi de rha. supportswiggy.in pr email kiya bha 3 din se try kr rha hun mujhe koi sahi response nhi mil rha hai. Swiggy plz aap apna toll free number issue bhi kr dijiye Mera bht bura experience rha is app pr😢😬,Ravi Gangwar,0,1,2024-02-27 21:28:09
7,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,💩💩💩💩💩,Balwinder kaur,0,5,2024-02-27 21:18:39
8,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Om Sri Sai Ram 🧡🤍💚,Sougandh S,0,5,2024-02-27 21:15:40
9,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Nice, super 👍",Sherifudeen Lebba,0,1,2024-02-27 21:15:36
10,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Everytime you get the spioled food they would just recommend you to rate restaurant, there's no value of customers money also very poor customer support.",Lokmeet,19,1,2024-02-27 21:11:01
11,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Worst service you can go buy from restuarants directly. They will give coupon for the refund for not delivering it properly but it is valid only for 30 days. If i don't use it then they make money by cheating. Great business model swiggy. HOPE YOU CHEAT MORE PEOPLE,Macrin Smith,0,1,2024-02-27 20:56:49
12,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Worst service provided by Swiggy, they charge customer for no reason delivery partners cancel orders without information",Supraja N,0,3,2024-02-27 20:51:49
13,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Vloi,Ritam Sarkar,0,4,2024-02-27 20:49:27
14,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Swiggy is the best food and grocery aap .this is fantastic fooding aap,sapna kumari,0,5,2024-02-27 20:46:56
15,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Best app hai,Mdparwej Parwej,0,5,2024-02-27 20:32:24
16,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Till now my swiggy experience was awesome, but yesterday I placed an order which automatically got cancelled after 30mins. When I enquired about the same, the team informed me that the order has been cancelled from my end and they refused to issue my refund as well. Why will i cancel the order after being regular customer and well aware about the cancellation and refund policy. My refund of Rs. 521 is still pending.",shailja shekhar,0,3,2024-02-27 20:26:37
17,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,good job,sajal porwal,0,5,2024-02-27 20:22:55
18,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,"Bad customer support, inflated delivery times...",amrit kumar,0,1,2024-02-27 20:20:30
19,Google Play Ptore,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,Google Play Review,Delivery services are very bad took 1 and half hour to deliver in the area of 2 km,Prabhat Singh,0,1,2024-02-27 20:05:16
